source,target,similarity
ACCESO CARNAL VIOLENTO,ABORTO SIN CONSENTIMIENTO,0.03082667640100234
ACCESO CARNAL VIOLENTO,ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,0.006988231333830641
ACCESO CARNAL VIOLENTO,ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,0.040444028689365585
ACCESO CARNAL VIOLENTO CONTRA MENOR DE EDAD  (NOTA:SOLO PARA JURISDICCION INDIGENA),ACCESO CARNAL VIOLENTO,0.05301235447156449
ACTO SEXUAL VIOLENTO,ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,0.004369543538279452
ACTO SEXUAL VIOLENTO,ACCESO CARNAL O ACTO SEXUAL ABUSIVOS CON INCAPAZ DE RESISTIR,0.019943604199746612
ACTO SEXUAL VIOLENTO,ACCESO CARNAL VIOLENTO,0.11670577309776087
ACTO SEXUAL VIOLENTO,ACCESO CARNAL VIOLENTO CONTRA MENOR DE EDAD  (NOTA:SOLO PARA JURISDICCION INDIGENA),0.11163472969760613
ACTOS SEXUALES CON MENOR DE CATORCE AÑOS,ABORTO SIN CONSENTIMIENTO,0.0006792191854589902
ACTOS SEXUALES CON MENOR DE CATORCE AÑOS,ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,0.190360034907757
ACTOS SEXUALES CON MENOR DE CATORCE AÑOS,ACCESO CARNAL VIOLENTO,0.021407382281835363
ALTERACION DESFIGURACION Y SUPLANTACION DE MARCAS DE GANADO,ABIGEATO,0.43551180944146195
AMENAZAS,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0.012933041444873505
AMENAZAS,ACOSO SEXUAL,0.005246197691268439
APODERAMIENTO O ALTERACIÓN DE SISTEMAS DE IDENTIFICACIÓN,"APODERAMIENTO DE HIDROCARBUROS, SUS DERIVADOS, BIOCOMBUSTIBLES O MEZCLAS QUE LOS CONTENGAN",0.09912453861622172
COHECHO POR DAR U OFRECER,ADMINISTRACION DE RECURSOS RELACIONADOS CON ACTIVIDADES TERRORISTAS,0.001840647262595696
COHECHO PROPIO,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0.02970987108862011
COHECHO PROPIO,COHECHO IMPROPIO,0.15653761509066866
CONCIERTO PARA DELINQUIR,AMENAZAS,0.06196690962739837
CONCIERTO PARA DELINQUIR,"APODERAMIENTO DE HIDROCARBUROS, SUS DERIVADOS, BIOCOMBUSTIBLES O MEZCLAS QUE LOS CONTENGAN",0.06425325353400835
CONCIERTO PARA DELINQUIR,COHECHO POR DAR U OFRECER,0.024809319592463575
CONCIERTO PARA DELINQUIR,COHECHO PROPIO,0.0018104591708909545
CONCUSION,ABUSO DE FUNCION PUBLICA,0.23967388116160793
CONCUSION,COHECHO IMPROPIO,0.10078249825143237
CONCUSION,COHECHO PROPIO,0.03816763505202736
CONSTREÑIMIENTO A LA PROSTITUCION,ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,0.0025258414307293142
CONSTREÑIMIENTO AL SUFRAGANTE O AL ELECTOR,CONCIERTO PARA DELINQUIR,9.084080557097973e-05
CONSTREÑIMIENTO ILEGAL,CONCIERTO PARA DELINQUIR,0.004041170128536109
CONSTREÑIMIENTO PARA DELINQUIR,CONCIERTO PARA DELINQUIR,0.008526281177219874
CONTAMINACION AMBIENTAL,"APODERAMIENTO DE HIDROCARBUROS, SUS DERIVADOS, BIOCOMBUSTIBLES O MEZCLAS QUE LOS CONTENGAN",0.1621105783234087
CONTAMINACION AMBIENTAL,CONCIERTO PARA DELINQUIR,0.004385772638290875
CONTAMINACION AMBIENTAL POR EXPLOTACION DE YACIMIENTO MINERO O HIDROCARBURO,CONTAMINACION AMBIENTAL,0.09783499038204513
CORRUPCION DE ALIMENTOS PRODUCTOS MEDICOS O MATERIAL PROFILACTICO,CIRCULACION Y USO DE EFECTO OFICIAL O SELLO FALSIFICADO,0.07625628026446207
