Id,community,label,name,topic
ACCESO CARNAL VIOLENTO,0,ACCESO CARNAL VIOLENTO,"['acceso', 'carnal', 'violento']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ABORTO SIN CONSENTIMIENTO,0,ABORTO SIN CONSENTIMIENTO,"['aborto', 'consentimiento']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,0,ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,"['acceso', 'carnal', 'abusivo', 'menor', 'catorce', 'años']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,0,ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,"['acceso', 'carnal', 'acto', 'sexual', 'persona', 'puesta', 'incapacidad', 'resistir']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ACCESO CARNAL VIOLENTO CONTRA MENOR DE EDAD  (NOTA:SOLO PARA JURISDICCION INDIGENA),0,ACCESO CARNAL VIOLENTO CONTRA MENOR DE EDAD  (NOTA:SOLO PARA JURISDICCION INDIGENA),"['acceso', 'carnal', 'violento', 'menor', 'edad', '(', 'nota', ':', 'solo', 'jurisdiccion', 'indigena', ')']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ACTO SEXUAL VIOLENTO,0,ACTO SEXUAL VIOLENTO,"['acto', 'sexual', 'violento']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ACCESO CARNAL O ACTO SEXUAL ABUSIVOS CON INCAPAZ DE RESISTIR,0,ACCESO CARNAL O ACTO SEXUAL ABUSIVOS CON INCAPAZ DE RESISTIR,"['acceso', 'carnal', 'acto', 'sexual', 'abusivos', 'incapaz', 'resistir']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ACTOS SEXUALES CON MENOR DE CATORCE AÑOS,0,ACTOS SEXUALES CON MENOR DE CATORCE AÑOS,"['actos', 'sexuales', 'menor', 'catorce', 'años']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
CONSTREÑIMIENTO A LA PROSTITUCION,0,CONSTREÑIMIENTO A LA PROSTITUCION,"['constreñimiento', 'prostitucion']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
DEMANDA DE EXPLOTACION SEXUAL COMERCIAL DE PERSONA MENOR DE 18 AÑOS DE EDAD,0,DEMANDA DE EXPLOTACION SEXUAL COMERCIAL DE PERSONA MENOR DE 18 AÑOS DE EDAD,"['demanda', 'explotacion', 'sexual', 'comercial', 'persona', 'menor', '18', 'años', 'edad']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ESTIMULO A LA PROSTITUCION DE MENORES,0,ESTIMULO A LA PROSTITUCION DE MENORES,"['estimulo', 'prostitucion', 'menores']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
FAVORECIMIENTO DE LA FUGA,0,FAVORECIMIENTO DE LA FUGA,"['favorecimiento', 'fuga']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
FEMINICIDIO,0,FEMINICIDIO,['feminicidio'],"prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
INCESTO,0,INCESTO,['incesto'],"prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
INDUCCION A LA PROSTITUCION,0,INDUCCION A LA PROSTITUCION,"['induccion', 'prostitucion']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
INJURIA POR VIAS DE HECHO,0,INJURIA POR VIAS DE HECHO,"['injuria', 'vias', 'hecho']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
INTIMIDACION (NOTA:SOLO PARA JURISDICCION INDIGENA),0,INTIMIDACION (NOTA:SOLO PARA JURISDICCION INDIGENA),"['intimidacion', '(', 'nota', ':', 'solo', 'jurisdiccion', 'indigena', ')']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
IRRESPETO A CADAVERES,0,IRRESPETO A CADAVERES,"['irrespeto', 'cadaveres']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
LESIONES PERSONALES CAUSANDO PERTURBACION PSIQUICA,0,LESIONES PERSONALES CAUSANDO PERTURBACION PSIQUICA,"['lesiones', 'personales', 'causando', 'perturbacion', 'psiquica']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
PORNOGRAFIA CON MENORES,0,PORNOGRAFIA CON MENORES,"['pornografia', 'menores']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
PROPAGACION DEL VIRUS DE INMUNODEFICIENCIA HUMANA O DE LA HEPATITIS B,0,PROPAGACION DEL VIRUS DE INMUNODEFICIENCIA HUMANA O DE LA HEPATITIS B,"['propagacion', 'virus', 'inmunodeficiencia', 'humana', 'hepatitis', 'b']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
PROXENITISMO CON MENOR DE EDAD,0,PROXENITISMO CON MENOR DE EDAD,"['proxenitismo', 'menor', 'edad']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
TRATA DE PERSONAS,0,TRATA DE PERSONAS,"['trata', 'personas']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
UTILIZACION O FACILITACION DE MEDIOS DE COMUNICACION PARA OFRECER ACTIVIDADES SEXUALES CON PERSONAS MENORES DE 18 AÑOS,0,UTILIZACION O FACILITACION DE MEDIOS DE COMUNICACION PARA OFRECER ACTIVIDADES SEXUALES CON PERSONAS MENORES DE 18 AÑOS,"['utilizacion', 'facilitacion', 'medios', 'comunicacion', 'ofrecer', 'actividades', 'sexuales', 'personas', 'menores', '18', 'años']","prostitucion-menores, proxenitismo-consentimiento, acceso-carnal"
ALTERACION DESFIGURACION Y SUPLANTACION DE MARCAS DE GANADO,1,ALTERACION DESFIGURACION Y SUPLANTACION DE MARCAS DE GANADO,"['alteracion', 'desfiguracion', 'suplantacion', 'marcas', 'ganado']","abigeato-soborno, publico-material, falso-documento"
ABIGEATO,1,ABIGEATO,['abigeato'],"abigeato-soborno, publico-material, falso-documento"
